Locality,site number,Site
AC,10,ACRL
AC,11,ACMID
AC,12,ACBAY
BAY,1,BAYAC
BAY,2,BAYMID
BAY,3,BAYNC
NC,4,NCBAY
NC,5,NCMID
NC,6,NCRL
RL,7,RLNC
RL,8,RLMID
RL,9,RLAC
