Acropora ,Agaricia ,Faviidae,Porites,Siderastrea ,Unknown Coral broken,Unknown Coral too small,Dummie
0,0,0,21,0,0,3,1
0,0,1,24,0,0,1,1
0,0,0,6,1,0,0,1
0,0,0,11,0,0,2,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1
2,1,2,39,2,2,4,1
0,1,3,12,0,2,0,1
0,1,2,4,0,1,0,1
